1	0	RED 1	1	3	0	0
1	0	BLUE	1	2	0	0	2
1	0	WHITE	0	0	0	3	0
1	0	GREEN	2	0	0	1	0
1	1	RED 4	0	0	0	0
1	0	BLUE	1	2	1	0	1
1	0	WHITE	0	0	2	2	0
1	0	BLACK	0	1	0	0	2
1	0	GREEN	1	0	0	3	1
1	0	BLUE	1	0	2	0	0
1	0	RED	3	0	0	0	0
1	0	BLACK	0	3	1	0	1
1	0	GREEN	0	3	0	0	0
1	0	BLACK	1	1	0	2	1
1	0	RED	1	0	1	1	1
1	0	BLUE	0	1	0	1	3
1	0	WHITE	0	2	1	0	0
1	0	GREEN	1	1	1	1	0
1	0	GREEN	0	0	4	0	0
1	0	WHITE	0	0	1	2	2
1	0	WHITE	0	1	1	1	1
1	0	BLUE	0	0	3	0	0
1	0	BLACK	2	1	0	2	0
1	0	RED	2	0	1	1	1
1	0	BLACK	2	0	0	0	2
1	0	GREEN	1	1	1	1	0
1	0	WHITE	0	1	1	1	2
1	0	GREEN	0	2	2	1	0
1	1	WHITE	0	0	0	0	4
1	0	RED	2	2	0	0	0
1	1	BLUE	0	4	0	0	0
1	0	BLACK	0	0	0	0	3
1	0	WHITE	3	0	1	1	0
1	0	BLACK	1	1	0	1	1
1	0	RED	2	0	2	0	1
1	0	RED	0	0	0	2	1
1	0	GREEN	0	2	0	2	0
1	0	BLACK	0	0	0	4	0
1	0 BLUE	0	0	2	0	2
1	0 BLUE	1	1	1	0	1
2	1	GREEN	2	0	2	3	0
2	2	WHITE	0	5	0	0	0
2	2	BLACK	0	3	0	0	5
2	3	RED	0	0	0	0	6
2	3	BLUE	0	0	0	6	0
2	1	GREEN	3	3	0	0	2
2	2	RED	1	0	0	4	2
2	1	BLACK	3	0	0	2	2
2	2	BLUE	2	1	4	0	0
2	2	BLACK	5	0	0	0	0
2	1	BLUE	0	0	3	2	3
2	2	BLUE	5	0	0	3	0
2	1	RED	0	2	3	3	0
2	1	BLACK	3	0	2	0	3
2	1	WHITE	0	2	2	0	3
2	1	WHITE	2	3	0	3	0
2	2	BLACK	0	2	0	1	4
2	2	GREEN	4	0	1	2	0
2	2	BLUE	0	0	0	5	0
2	2	GREEN	0	0	0	0	5
2	2	RED	3	0	5	0	0
2	1	RED	2	2	3	0	0
2	2	RED	0	0	5	0	0
2	1	BLUE	0	3	0	2	2
2	2	WHITE	0	4	2	0	1
2	3	BLACK	0	0	6	0	0
2	2	GREEN	0	0	0	5	3
2	3	WHITE	6	0	0	0	0
2	2	WHITE	0	5	3	0	0
2	3	GREEN	0	0	0	0	6
3	4	WHITE	7	0	0	0	0
3	3	BLUE	3	3	5	0	3
3	3	GREEN	5	3	3	3	0
3	3	WHITE	0	5	3	3	3
3	4	BLACK	0	6	3	0	3
3	4	RED	0	0	0	0	7
3	5	BLACK	0	7	3	0	0
3	4	BLACK	0	7	0	0	0
3	4	RED	0	3	0	3	6
3	4	BLUE	6	0	3	3	0
3	4	GREEN	0	0	0	7	0
3	3	BLACK	3	3	0	3	5
3	4	GREEN	3	0	0	6	3
3	5	WHITE	3	0	7	0	0
3	3	RED	3	0	3	5	3
3	4	WHITE	3	3	6	0	0
3	5	BLUE	7	0	0	3	0
3	5	GREEN	0	0	0	7	3
3	5	RED	0	3	0	0	7
3	4	BLUE	7	0	0	0	0
